depth,move_number,Going_First,mean,std
3,1,0,0.019447374343872035,0.0005595827420290006
3,1,1,0.017935140927632605,0.0010396867552217716
3,2,0,0.017563017209370882,0.001860348950781203
3,2,1,0.01764362653096513,0.008257344138375425
3,3,0,0.00504443645477289,0.0024993327174529407
3,3,1,0.008494869867960558,0.006107037130551489
3,4,0,0.014903577168782517,0.005441669918832117
3,4,1,0.014054004351297968,0.005610989269445148
3,5,0,0.010967707633972134,0.0028834277923734677
3,5,1,0.010517621040344188,0.0033954879858659093
3,6,0,0.009648839632670027,0.0026377051242509196
3,6,1,0.008006922403971306,0.002586403574106576
3,7,0,0.006944954395294146,0.0017680452950588495
3,7,1,0.005823485056559188,0.0019433788514723331
3,8,0,0.0047771930694579575,0.0013018973211975484
3,8,1,0.004709773593478684,0.0009556136452461037
3,9,0,0.0034817457199096003,0.0009247057839525056
3,9,1,0.002868652343749938,0.0011228029796755026
3,10,0,0.0029999415079752004,1.7530387051260376e-05
3,10,1,0.0018238067626952601,0.00046681647275829583
3,11,0,0.00148272514343255,0.0006844648198168882
3,11,1,0.0009971459706624,2.753020616462812e-07
3,12,0,0.00062930583953855,0.0008899728531560041
3,12,1,0.0,
3,13,0,0.0,
3,13,1,0.0,
4,1,0,1.0199167013168335,0.006077833473320547
4,1,1,0.857819930712382,0.04426910508996858
4,2,0,0.7371020555496216,0.021874659984065174
4,2,1,0.6084078232447306,0.08167848492452363
4,3,0,0.5427124738693238,0.04310545301840082
4,3,1,0.39016608397165936,0.13066082277691773
4,4,0,0.3433992783228556,0.10094003243695635
4,4,1,0.25279769897460935,0.0886141338907522
4,5,0,0.22204294204711914,0.05223198913037242
4,5,1,0.17159896691640217,0.042806867471976436
4,6,0,0.15010759035746254,0.03241049013609168
4,6,1,0.11726483503977454,0.02283013104357643
4,7,0,0.10077946002666766,0.012266700523838152
4,7,1,0.07074802893179431,0.014149720739692331
4,8,0,0.057682667459760355,0.011100346232530823
4,8,1,0.042383730411529506,0.007684145735463988
4,9,0,0.02836044629414873,0.003263775581300005
4,9,1,0.023472571372985793,0.0024709291171562493
4,10,0,0.0129950046539306,
4,10,1,0.009863683155604716,0.0010633284173946168
4,11,1,0.00299203395843505,3.0779706209355217e-07
4,12,1,0.00050193071365355,0.0005796081150816689
4,13,1,0.0,
5,1,0,11.65483390490214,0.38640911134224726
5,1,1,9.951990564664206,0.887598584342401
5,2,0,4.637881183624268,1.2071991224015137
5,2,1,3.8050028403600056,1.1213409983582876
5,3,0,2.5020731051762897,0.5824253104440009
5,3,1,2.4366469462712605,0.5634347065698695
5,4,0,3.7003920873006186,1.5004264204930664
5,4,1,2.6527175823847453,1.2408949658682769
5,5,0,2.020484034220378,0.6845553400938701
5,5,1,1.5609710375467936,0.3702714561987837
5,6,0,0.9843077898025513,0.2841438541111387
5,6,1,0.7870133717854818,0.2697836664758116
5,7,0,0.5564791917800903,0.1808218473218226
5,7,1,0.4641578612120255,0.1063223434568983
5,8,0,0.2854249477386474,0.0800542486919773
5,8,1,0.22926527659098309,0.04438325470603719
5,9,0,0.15368151664733884,0.018381639924199177
5,9,1,0.11291706562042232,0.013239384446727143
5,10,1,0.03326376279195147,0.003181009285802571
5,11,1,0.0069530010223388,
